Unnamed: 0,Solute_SMILES,Solvent_SMILES,log-gamma,T
60,CCCCCCCC,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,-0.356674944,30
69,CCCCC,CC(=O)N(C)C,2.073800662,30
71,CCCCC,CC(=O)N(C)C,2.074429,30
79,CCCCC,CC(=O)C,1.752672081,30
80,CCCCC,CC(=O)C,1.764730797,30
120,CCCCCC,CC1COC(=O)O1,3.703768067,30
128,CCCCCC,CCC(=O)C,1.451613827,30
130,CCCCCC,CCC(=O)C,1.451613827,30
155,CCCCCC,C1CCS(=O)(=O)C1,4.290459441,30
159,CCCCCC,C1CCS(=O)(=O)C1,3.849934813,30
194,C1=CC=CC=C1,CC(=O)C,0.463734016,30
201,CCCCCC,CO,3.254242969,30
216,CCCCCC,CCO,2.541601993,30
222,C1=CC=CC=C1,CS(=O)C,1.30833282,30
254,C1=CC=CC=C1,CC1COC(=O)O1,1.202972304,30
269,CCCCCC,CC(=O)C,1.873339456,30
273,CCCCCC,CC(=O)C,1.822935087,30
283,CCCCCC,CS(=O)C,4.207673248,30
288,C1=CC=CC=C1,C1=COC(=C1)C=O,0.887891257,30
305,C1=CC=CC=C1,CN1CCCC1=O,0.039220713,30
312,C1=CC=CC=C1,CN1CCCC1=O,-0.008032172,30
319,C1=CC=CC=C1,CO,1.969905655,30
321,C1=CC=CC=C1,C(CO)O,3.433987204,30
339,CCCCC,CCC(=O)C,1.324418957,30
359,CCCCCC,C(CO)O,6.573680167,30
367,CCCCCC,CN(C)C=O,2.827313622,30
425,CCCCCC,CN1CCCC1=O,2.541601993,30
445,C1=CC=CC=C1,C1=CC=C(C=C1)[N+](=O)[O-],0.341459778,30
465,C1=CC=CC=C1,CN(C)C=O,0.371563556,30
474,CCCCCC,C1=CC=C(C=C1)[N+](=O)[O-],2.109000344,30
648,CC1=CC=CC=C1,C(CCl)Cl,0.012916225,30
658,CCCO,C(CCl)Cl,1.991975516,30
760,C1=CC=CC=C1,CCCCCCCCCCCCCCCCCC,-0.021223636,30
784,C1=CC=CC=C1,CCCCCCCCCCCCCCCC,0.062035391,30
786,C1=CC=CC=C1,CCCCCCCCCCCCCCCC,0.039220713,30
908,C1CCCCC1,C(CC#N)CC#N,3.577947893,30
913,C1CCCCC1,C(CCC#N)CC#N,3.058707073,30
963,C1CCCCC1,CS(=O)C,3.75419892,30
989,C1CCCCC1,CN1CCCC1=O,2.063058062,30
990,C1CCCCC1,CN1CCCC1=O,2.054123734,30
1050,CCO,CCCCCCCC,3.862832761,30
1056,CCO,CCCCCCCC,3.862832761,30
1067,CCCCC,CC1=CC=CC=C1,0.576613364,30
1071,CCCCC,CC1=CC=CC=C1,0.476234179,30
1122,CCCCCC,CCCCCCCCCCCCCCCC,-0.105360516,30
1125,CCCCCC,CCCCCCCCCCCCCCCC,-0.121038328,30
1198,CCCCCCC=C,CCOC(=O)C1=CC=CC=C1C(=O)OCC,1.451613827,30
1199,CCCCCCC=C,CCOC(=O)C1=CC=CC=C1C(=O)OCC,1.451613827,30
1218,CC1CCCC1,C1CCS(=O)C1,3.117772899,30
1220,CCCCCCC,CO,3.55820113,30
1236,CC1=CC=CC=C1,CS(=O)C,1.824549292,30
1240,C1CCCC1,CS(=O)C,3.359889158,30
1241,CC1CCCC1,C1=CC=C(C(=C1)N)S,2.666741977,30
1247,CC1CCCCC1,C1CCS(=O)(=O)C1,3.656097965,30
1271,CC1CCCCC1,CCSCCO,2.368934474,30
1277,CCCCCCC,C1CCS(=O)(=O)C1,4.569543008,30
1279,CCCCCCC,C1CCS(=O)(=O)C1,4.127456914,30
1285,CC(C)CC(C)(C)C,CS(=O)C,4.784019053,30
1295,CC1=CC=CC=C1,C1CCS(=O)(=O)C1,1.283707772,30
1296,CC1=CC=CC=C1,C1CCS(=O)(=O)C1,1.284538452,30
1327,CC(=O)C,CO,0.746687947,30
1368,CCCCCCC,CCC(=O)C,1.539015448,30
1382,CCCCCC,CC1=CC=CC=C1,0.570979547,30
1384,CCCCCC,CC1=CC=CC=C1,0.615185639,30
1430,C1=CC=CC=C1,C1CCCCC1,0.530628251,30
1645,CC(=O)C,CCCCCCCC,1.796747011,30
1666,CCC(=O)C,CCCCCC,1.460937904,30
1667,CCC(=O)C,CCCCCC,1.460937904,30
1749,C(Cl)Cl,CCCCO,0.620576488,30
1826,CC(=O)OC,CCCCN(CCCC)C(=O)C1=CC=CC=C1,0.591114455,30
1875,C1CCCC1,C1COCCN1C=O,2.557227311,30
1876,C1CCCC1,C1COCCN1C=O,2.549445171,30
1893,CCCCCCCC,C1COCCN1C=O,4.148674907,30
1906,CC(=O)OC,C1COCCN1C=O,0.615185639,30
1935,CC(C)O,C1COCCN1C=O,0.662687973,30
1967,CC(=O)C,CC1=CC(=CC=C1)C,0.742889272,30
1981,CCCCCC,CCCCOCCOCCOCCOCCCC,0.345007139,30
1983,C1=CC=CC=C1,CCCCOCCOCCOCCCC,-0.486133011,30
1986,C1COCCO1,COCCOCCOCCOCCOC,-0.298406036,30
1989,CC(C)OC(C)C,COCCOCCOCCOCCOC,0.774727168,30
1995,CCOC(=O)C,CCCCOCCOCCOCCCC,-0.051293294,30
1998,CCO,COCCOCCOCCOCCOC,0.170586301,30
2004,C1=COC=C1,CCCCOCCOCCOCCOCCCC,-0.834710745,30
2008,C1CCCCC1,CCCCOCCOCCOCCOCCCC,0.096218858,30
2013,CCOC(=O)C,CCCCOCCOCCOCCOCCCC,-0.181521877,30
2021,CCCCC,CC(COC)OCC(C)OCC(C)OC,0.428530381,30
2023,CC1=CC=CC=C1C,CC(COC)OCC(C)OCC(C)OC,-0.158995731,30
2027,C(C(Cl)(Cl)Cl)(F)(F)F,CCCCOCCOCCOCCCC,-0.012072581,30
2030,C1=CC=NC=C1,CCCCOCCOCCOCCCC,-0.460449416,30
2032,CC1=CC(=CC=C1)C,CC(COC)OCC(C)OCC(C)OC,-0.147340588,30
2055,CCCCC=C,CCCCCCCCCCCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.223143551,30
2062,CCCO,CCCCCCCCCCCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,2.582486978,30
2064,C1=CC=CC=C1,CCCCCCCCCCCCCCCCCCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,-0.020202707,30
2109,CCCCCC,C1CC(=O)NC1,3.750914845,30
2113,C1CCCC1,CN1CCCCC1=O,1.486139696,30
2114,C1=CC=CC=C1,CN1CCCCC1=O,-0.094310679,30
2117,CC=O,CN1CCCCC1=O,0.058268908,30
2122,CC(C)OC(C)C,C1CC(=O)NC1,2.66792241,30
2126,CC1=CC=CC=C1C,C1CC(=O)NC1,1.666007264,30
2135,CC(=O)OC=C,CCNC=O,1.036736885,30
2138,CCC(=O)C,CCNC=O,0.717839793,30
2142,CCOCC,CCCCCCCCCCO,0.207014169,30
2152,CCCO,C1CCC(=O)OCC1,0.741937345,30
2153,CCCC=C,CCN(CC)C(=O)C,1.026041596,30
2159,CCCCCCC=C,CCN(CC)C(=O)C,1.439835128,30
2160,CCCCCCC=C,CCN(CC)C(=O)C,1.439835128,30
2167,CO,C1CCC(=O)OCC1,0.500775288,30
2386,CCCCCCC,CC(=O)C1=CC=CS1,2.533696814,30
2407,CCOC(=O)C,CCCCCCCCCCCCCCCCCCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.425267735,30
2474,CC1=CC=CC=C1,CO,2.299580584,30
2502,CCCCC,CCCCCCCCCO,0.93,30
2506,CCCCCCC,CCCS(=O)CCC,2.163323026,30
2522,CC(=O)OC=C,C1CCC(=O)OCC1,0.488580015,30
2530,CC(=O)OC,CCCCCCCCCCCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.457424847,30
2558,CCCC=C,CCNC(=O)C,1.635105659,30
2564,CCOC(=O)C,C1COCCN1C=O,0.90825856,30
2570,CCCOC(=O)C,CCCCOCCOCCOCCCC,-0.033556784,30
2590,CCCCCC,CC1CC(S(=O)(=O)C1)C,2.660259537,30
2597,CCO,CCCCCCC(=O)C,1.184789985,30
2605,C1CCCCC1,CCOS(=O)(=O)OCC,1.886160145,30
2625,CC(C)(C)OC,CCCC(C)C,0.223143551,30
2631,CCCCCC,C1=COC(=C1)C=O,3.320348794,30
2661,C(Cl)Cl,COCCOCCOCCOCCOC,-1.62455155,30
2669,C(Cl)(Cl)Cl,CCCCCCCCCCCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.039220713,30
2697,C1CCC=CC1,CCN(CC)C(=O)C,0.916290732,30
2704,CCCCC,C(CCC#N)CC#N,3.356897123,30
2742,CCO,CC1=CC(=CC=C1)C,2.710048204,30
2769,C(Cl)(Cl)(Cl)Cl,CC(COC)OCC(C)OCC(C)OC,-0.412489723,30
2775,CC1=CC=CC=C1,CCNC=O,1.44926916,30
2803,CCCCCC,CCCCCO,1.413423029,30
2849,CCCCC,CCCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCCC,0.108854405,30
2859,CCCCCCC,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,-0.397496938,30
2871,CCCCCC,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,-0.432885997,30
2881,CCCCC,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,-0.481266822,30
3155,C1=CC=CC=C1,C(CC#N)CC#N,1.255616037,30
3175,C1CCCCC1,CC1COC(=O)O1,3.169685581,30
3198,CCCCC,CNC=O,3.450304956,30
3204,CCCC=C,CNC=O,2.797281335,30
3211,CCCCC,CCNC(=O)C,2.021547563,30
3215,CCCCC,CC(=O)NC,2.481567749,30
3222,CCC(C)C,CNC=O,3.417070731,30
3248,CCCCC,CN1CCCC1=O,2.360854001,30
3264,CCCC=C,CN1CCCC1=O,1.682688374,30
3286,CCCCCC,C(CSCCC#N)C#N,4.342167718,30
3321,CCCCC=C,CCOC(=O)C1=CC=CC=C1C(=O)OCC,1.121677562,30
3323,CCCCC=C,CCOC(=O)C1=CC=CC=C1C(=O)OCC,1.121677562,30
3337,CCCCCCC,CCOC(=O)C1=CC=CC=C1C(=O)OCC,1.74745921,30
3349,C1CCCCC1,CCCCCCCCCCCCCCCC,-0.215671536,30
3362,CCCC=C,CCOC(=O)C1=CC=CC=C1C(=O)OCC,0.955511445,30
3395,CO,CCCCCCCCCCCCCCCC,4.012772909,30
3401,CCCCCCC,CC(=O)C,2.055404964,30
3405,CCCCCCC,CC(=O)C,2.111424588,30
3423,CCCCCCC,CCSCCO,2.83344861,30
3434,CCO,CCCCCCCCCCCCCCCC,3.62700405,30
3437,CC1CCCCC1,CS(=O)C,4.130306767,30
3446,C1CCCCC1,C1CCS(=O)(=O)C1,3.563882964,30
3448,C1CCCCC1,C1CCS(=O)(=O)C1,3.335769576,30
3459,C1=CC=CC=C1,C1CCS(=O)(=O)C1,0.770108222,30
3460,C1=CC=CC=C1,C1CCS(=O)(=O)C1,0.867100488,30
3464,C1=CC=CC=C1,C1CCS(=O)(=O)C1,0.866259798,30
3470,CC1CCCC1,CS(=O)C,3.834861144,30
3480,CCCO,CCCCCCCCCCCCCCCC,3.306886702,30
3510,CCCCCCC,CN1CCCC1=O,2.701361213,30
3554,CCCCCCC,CS(=O)C,4.649187071,30
3588,CC1CCCCC1,C1=COC(=C1)C=O,3.092858984,30
3692,C(Cl)(Cl)(Cl)Cl,CC(=O)C,0.770108222,30
3710,CCCCCCCC,C(CO)O,7.580699752,30
3720,CCCCC,CCOC(=O)C,1.085189268,30
3791,CCO,CC(=O)C,0.841567186,30
3869,CO,CC1=CC=CC=C1,2.917230045,30
3873,CO,CC1=CC=CC=C1,3.054001182,30
4020,C(Cl)(Cl)(Cl)Cl,CCCCCCCCO,0.536493371,30
